PaddleX,ActionX,BallsData
-2.399999,-1,-2.254769:-3.035091
-2.099999,1,-2.254769:-3.227367
-2.399999,-1,
-2.399999,0,3.766664:6
-2.099999,1,3.766664:5.996076
-1.799999,1,3.766664:5.988228
-1.5,1,3.766664:5.976456
-1.2,1,3.766664:5.96076
-0.8999997,1,3.766664:5.94114
-0.5999998,1,3.766664:5.917596
-0.2999999,1,3.766664:5.137418
0,1,3.766664:5.106026
0.2999999,1,3.766664:5.07071
0.5999998,1,3.766664:5.03147
0.8999997,1,3.766664:4.988306
1.2,1,3.766664:4.941218
1.5,1,3.766664:4.293626
1.799999,1,3.766664:4.23869
2.099999,1,3.766664:4.179831
2.399999,1,3.766664:4.117047
2.699999,1,3.766664:4.050339
2.999999,1,3.766664:3.490486
3.299999,1,3.766664:3.41593
3.599999,1,3.766664:3.33745
3.899999,1,3.766664:3.255046
3.599999,-1,3.766664:3.168718
3.899999,1,3.766664:2.593157
3.599999,-1,3.766664:2.498981
3.899999,1,3.766664:2.400881
3.599999,-1,3.766664:2.298857
3.899999,1,3.766664:2.192909
3.599999,-1,3.766664:2.083037
3.899999,1,3.766664:1.374412
3.599999,-1,3.766664:1.256692
3.899999,1,3.766664:1.135048
3.599999,-1,3.766664:1.00948
3.899999,1,3.766664:0.879988
3.599999,-1,3.766664:0.7465721
3.899999,1,3.766664:0.001392066
3.599999,-1,3.766664:-0.1398718
3.899999,1,3.766664:-0.2850597
3.599999,-1,3.766664:-0.4341716
3.899999,1,3.766664:-0.5872074
3.599999,-1,3.766664:-0.7441673
3.899999,1,3.766664:-1.456691
3.599999,-1,3.766664:-1.621499
3.899999,1,3.766664:-1.790231
3.599999,-1,3.766664:-1.962887
3.899999,1,3.766664:-2.139467
3.599999,-1,3.766664:-2.31997
3.899999,1,3.766664:-3.132759
3.599999,-1,
3.599999,0,
3.599999,0,
3.599999,0,
3.599999,0,
3.599999,0,3.221:6
3.299999,-1,3.221:5.996076
3.299999,0,3.221:5.988228
3.299999,0,3.221:5.976456
3.299999,0,3.221:5.96076
3.299999,0,3.221:5.94114
3.299999,0,3.221:5.917596
3.299999,0,3.221:5.240068
3.299999,0,3.221:5.208676
3.299999,0,3.221:5.17336
3.299999,0,3.221:5.13412
3.299999,0,3.221:5.090957
3.299999,0,3.221:4.533808
3.299999,0,3.221:4.482796
3.299999,0,3.221:4.42786
3.299999,0,3.221:4.369
3.299999,0,3.221:4.306217
3.299999,0,3.221:3.751999
3.299999,0,3.221:3.681367
3.299999,0,3.221:3.606811
3.299999,0,3.221:3.528331
3.299999,0,3.221:2.981057
3.299999,0,3.221:2.894729
3.299999,0,3.221:2.804477
3.299999,0,3.221:2.710301
3.299999,0,3.221:2.612201
3.299999,0,3.221:2.036407
3.299999,0,3.221:1.930459
3.299999,0,3.221:1.820587
3.299999,0,3.221:1.706792
3.299999,0,3.221:1.589072
3.299999,0,3.221:1.467428
3.299999,0,3.221:0.7778696
3.299999,0,3.221:0.6483777
3.299999,0,3.221:0.5149618
3.299999,0,3.221:0.3776219
3.299999,0,3.221:0.236358
3.299999,0,3.221:0.09117015
3.299999,0,3.221:-0.7377015
3.299999,0,3.221:-0.8907374
3.299999,0,3.221:-1.047697
3.299999,0,3.221:-1.208581
3.299999,0,3.221:-1.373389
3.299999,0,3.221:-1.542121
3.299999,0,3.221:-2.258566
3.299999,0,3.221:-2.435146
3.299999,0,3.221:-2.61565
3.299999,0,3.221:-2.800078
3.299999,0,3.221:-2.98843
3.299999,0,3.221:-3.680277
3.299999,0,
3.299999,0,
3.299999,0,
3.299999,0,
3.299999,0,7.68634:6
3.599999,1,7.68634:5.996076
3.899999,1,7.68634:5.988228
4.199999,1,7.68634:5.976456
4.499999,1,7.68634:5.96076
4.799998,1,7.68634:5.94114
5.099998,1,7.68634:5.333035
5.399998,1,7.68634:5.305567
5.699997,1,7.68634:5.274175
5.999997,1,7.68634:5.238859
6.299997,1,7.68634:5.199619
6.599997,1,7.68634:4.643856
6.899996,1,7.68634:4.596767
7.199996,1,7.68634:4.545755
7.499996,1,7.68634:4.490819
7.799995,1,7.68634:4.43196
7.499996,-1,7.68634:3.843506
