PaddleX,ActionX,BallsData
-7.499996,0,5.937725:5.393142
-7.499996,0,5.937725:5.369598
-7.499996,0,5.937725:5.119732
-7.499996,0,5.937725:4.982808
-7.499996,0,5.937725:4.846885
-7.499996,0,5.937725:4.70062
-7.499996,1,5.937725:4.569858
-7.199996,1,5.937725:4.444901
-6.899997,1,5.937725:4.393888
-6.599997,1,5.937725:4.118227
-6.299997,1,5.937725:3.980716
-5.999998,1,5.937725:3.917932
-5.699998,1,5.937725:3.616096
-5.399998,1,5.937725:3.464094
-5.099998,1,5.937725:3.287075
-4.799999,1,5.937725:3.100091
-4.499999,1,5.937725:2.925161
-4.199999,1,5.937725:2.732548
-3.899999,1,5.937725:2.557939
-3.599999,1,5.937725:2.353647
-3.299999,1,5.937725:2.152796
-3,1,5.937725:1.96439
-2.7,1,5.937725:1.738896
-2.4,1,5.937725:1.524485
-2.1,1,5.937725:1.328725
-1.8,1,5.937725:1.101793
-1.5,1,5.937725:0.8700631
-1.2,1,5.937725:0.6507226
-0.8999999,1,5.937725:0.4165927
-0.6,1,5.937725:0.1994098
-0.3000001,1,5.937725:-0.03986853
-2.384186E-07,1,5.937725:-0.2912514
0.2999997,1,5.937725:-0.5385283
0.5999995,1,5.937725:-0.7751147
0.8999994,1,5.937725:-1.033697
1.199999,1,5.937725:-1.298043
1.499999,1,5.937725:-1.546062
1.799999,1,5.937725:-1.813146
2.099999,1,5.937725:-2.092112
2.399999,1,5.937725:-2.346358
2.699999,1,5.937725:-2.634108
2.999999,1,5.937725:-2.920661
3.299999,1,5.937725:-3.190253
3.599999,1,5.937725:-3.485325
3.899999,1,5.937725:-3.785594
4.199999,1,5.937725:-4.067433|-2.847156:5.936362
4.499999,1,-2.847156:5.823965
4.799998,1,-2.847156:5.711779
5.099998,1,-2.847156:5.59346
5.399998,1,-2.847156:5.493932
5.699997,1,-2.847156:5.383523
5.999997,1,-2.847156:5.253123
6.299997,1,-2.847156:5.164601
6.599997,1,-2.847156:4.980167
6.899996,1,-2.847156:4.859981
7.199996,1,-2.847156:4.760307
7.499996,1,-2.847156:4.717143
7.799995,0,-2.847156:4.411318
7.799995,0,-2.847156:4.324015
7.799995,-1,-2.847156:4.108257
7.499996,-1,-2.847156:3.959972
7.199996,-1,-2.847156:3.833392
6.899996,-1,-2.847156:3.766684
6.599997,-1,-2.847156:3.457832
6.299997,-1,-2.847156:3.281786
5.999997,-1,-2.847156:3.095249
5.699997,-1,-2.847156:2.928914
5.399998,-1,-2.847156:2.739967
5.099998,-1,-2.847156:2.545617
4.799998,-1,-2.847156:2.346251
4.499999,-1,-2.847156:2.147177
4.199999,-1,-2.847156:1.960128
3.899999,-1,-2.847156:1.749873
3.599999,-1,-2.847156:1.536546
3.299999,-1,-2.847156:1.318608
2.999999,-1,-2.847156:1.099771
2.699999,-1,-2.847156:0.87747
2.399999,-1,-2.847156:0.646324
2.099999,-1,-2.847156:0.4148631
1.799999,-1,-2.847156:0.2010772
1.499999,-1,-2.847156:-0.03783064
1.199999,-1,-2.847156:-0.282659
0.8999994,-1,-2.847156:-0.5336309
0.5999995,-1,-2.847156:-0.7865813
